stride_length,cadence,gait_speed,step_time_variability,rms_acc,spectral_energy,label
1.22,101,1.02,0.028,0.43,11.6,0
1.18,98,0.97,0.031,0.46,12.1,0
1.25,105,1.05,0.026,0.42,10.9,0
1.20,100,1.00,0.030,0.45,11.8,0
1.15,97,0.95,0.033,0.48,12.5,0
1.30,108,1.08,0.025,0.40,10.5,0
1.19,99,0.98,0.032,0.47,12.0,0
1.23,103,1.03,0.027,0.44,11.2,0
1.17,96,0.94,0.034,0.49,12.7,0
1.26,106,1.06,0.026,0.41,10.8,0
1.21,101,1.01,0.029,0.43,11.4,0
1.16,95,0.93,0.035,0.50,12.9,0
1.24,104,1.04,0.027,0.42,11.0,0
1.28,107,1.07,0.025,0.41,10.6,0
1.14,94,0.92,0.036,0.51,13.1,0
1.27,105,1.05,0.026,0.40,10.7,0
1.18,98,0.97,0.031,0.46,12.2,0
1.22,102,1.02,0.028,0.44,11.5,0
1.15,96,0.94,0.034,0.48,12.6,0
1.29,107,1.08,0.024,0.39,10.4,0
0.95,82,0.70,0.082,0.69,17.6,1
0.90,78,0.65,0.088,0.72,18.3,1
0.88,75,0.63,0.091,0.74,18.9,1
0.92,80,0.68,0.085,0.70,17.8,1
0.85,72,0.60,0.095,0.78,19.5,1
0.93,83,0.71,0.080,0.68,17.4,1
0.89,76,0.64,0.090,0.73,18.7,1
0.87,74,0.62,0.092,0.75,19.1,1
0.91,79,0.66,0.087,0.71,18.0,1
0.86,73,0.61,0.094,0.77,19.3,1
0.94,81,0.69,0.083,0.69,17.7,1
0.88,75,0.63,0.091,0.74,18.8,1
0.90,77,0.65,0.089,0.72,18.4,1
0.84,71,0.59,0.097,0.79,19.8,1
0.92,80,0.68,0.085,0.70,17.9,1
0.89,76,0.64,0.090,0.73,18.6,1
0.86,73,0.61,0.094,0.78,19.6,1
0.93,82,0.70,0.081,0.68,17.5,1
0.87,74,0.62,0.092,0.75,19.0,1
0.85,72,0.60,0.096,0.80,20.0,1
